Lat,Long,State_Name,District_Name,Blocks,Villages,Clusters,Total_Population,Growth_Rate,Sex_Ratio,Overall_Literacy,Female_Literacy,Male_Literacy,Area_Sqkm

34.4319232,74.12399599999999,Jammu & Kashmir,Kupwara,13,391,104,875564,34.62,843,66.92,54.79,77.1,2379

34.1595145,74.35874729999999,Jammu & Kashmir,Baramula,18,678,144,1015503,20.34,873,66.93,55.01,77.35,4243

34.0836708,74.7972825,Jammu & Kashmir,Srinagar,8,94,65,1269751,23.56,879,71.21,63.47,77.95,1979

33.9348549,74.64004320000001,Jammu & Kashmir,Badgam,13,523,104,735753,21.18,883,57.98,46.6,68.56,1361

33.8716117,74.89456919999999,Jammu & Kashmir,Pulwama,8,359,64,570060,29.18,913,65,53.81,75.41,1086

33.7311255,75.14870069999999,Jammu & Kashmir,Anantnag,12,523,96,1070144,37.48,937,64.32,54.15,74.13,3574

34.15258639999999,77.57705349999999,Jammu & Kashmir,Leh (Ladakh),6,110,49,147104,25.48,583,80.48,64.52,89.39,45110

34.55385219999999,76.1348944,Jammu & Kashmir,Kargil,7,134,54,143388,20.18,775,74.49,58.05,86.73,14036

33.0469201,75.62080879999999,Jammu & Kashmir,Doda,10,388,80,409576,27.89,922,65.97,50.34,80.36,8912

32.9159847,75.1416173,Jammu & Kashmir,Udhampur,11,361,86,555357,20.86,863,69.9,58.22,79.93,2637

33.76700140000001,74.0924041,Jammu & Kashmir,Punch,11,187,95,476820,27.97,890,68.69,54.8,81.04,1674

33.3716143,74.315191,Jammu & Kashmir,Rajauri,15,390,120,619266,28.14,863,68.54,57.2,78.38,2630

32.7266016,74.8570259,Jammu & Kashmir,Jammu,14,861,124,1526406,12.48,871,83.98,77.41,89.77,2342

32.3864799,75.51726880000001,Jammu & Kashmir,Kathua,12,495,98,615711,20.38,877,73.5,64.56,81.4,2502

33.7593643,74.8039205,Jammu & Kashmir,Shopian,4,253,32,265960,25.85,951,62.49,52.77,71.86,312

34.5052269,74.6868815,Jammu & Kashmir,Bandipora,5,205,40,385099,26.31,911,57.82,46.24,68.41,345

33.3115906,75.76621949999999,Jammu & Kashmir,Kishtwar,7,163,57,231037,21.06,917,58.54,44.13,71.75,1644

33.2427243,75.2391588,Jammu & Kashmir,Ramban,6,139,48,283313,31.81,901,56.9,40.04,71.97,1329

34.2164955,74.7719431,Jammu & Kashmir,Ganderbal,4,148,32,297003,36.3,869,59.99,47.62,70.74,259

33.6449908,75.018031,Jammu & Kashmir,Kulgam,6,282,48,422786,7.3,951,60.35,49.74,70.58,410

33.0804393,74.83647239999999,Jammu & Kashmir,Reasi,6,261,53,314714,27.06,891,59.42,47.55,69.93,1719

32.5530092,75.11075269999999,Jammu & Kashmir,Samba,5,318,35,318611,16.9,886,82.48,74.39,89.76,904

32.5533633,76.1258083,Himachal Pradesh,Chamba,15,1150,266,518844,12.58,989,73.19,62.14,84.19,6522

32.0998031,76.2691006,Himachal Pradesh,Kangra,19,1785,358,1507223,12.56,1013,86.49,80.62,92.55,5739

32.6192107,77.3783789,Himachal Pradesh,Lahul & Spiti,4,168,53,31528,-5.1,916,77.24,66.5,86.97,13841

31.957851,77.1094597,Himachal Pradesh,Kullu,6,193,131,437474,14.65,950,80.14,71.01,88.8,5503

31.5892006,76.91820969999999,Himachal Pradesh,Mandi,20,1804,380,999518,10.89,1012,82.81,74.33,91.51,3950

