STATNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,GROWTHRATE,SEXRATIO,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM
JAMMU & KASHMIR,22,201,7263,1628,12549,23.71,883,68.74,58.01,78.26,222236
HIMACHAL PRADESH,12,124,10120,2243,6857,12.81,974,83.78,76.6,90.83,55673
PUNJAB,22,146,13197,1780,27704,13.73,893,76.68,71.34,81.48,50362
CHANDIGARH,1,20,84,20,1055,17.1,818,86.43,81.38,90.54,114
UTTARAKHAND,13,95,11989,995,10117,19.17,963,79.63,70.7,88.33,53483
HARYANA,21,126,7438,1523,25353,19.9,877,76.64,66.77,85.38,44212
DELHI,9,69,1201,69,16753,20.96,866,86.34,80.93,91.03,1483
RAJASTHAN,33,302,41441,10594,68621,21.44,926,67.06,52.66,80.51,342239
UTTAR PRADESH,75,971,98470,9423,199581,20.09,908,69.72,59.26,79.24,240928
BIHAR,38,537,40779,5633,103805,25.07,916,63.82,53.33,73.39,94163
SIKKIM,4,29,756,111,608,12.36,889,82.2,76.43,87.29,7096
ARUNACHAL PRADESH,20,99,2982,234,1383,25.92,920,66.95,59.57,73.69,83743
NAGALAND,11,47,1478,125,1981,-0.47,931,80.11,76.69,83.29,16579
MANIPUR,9,35,2422,225,2722,18.65,987,79.85,73.17,86.49,22327
MIZORAM,8,36,851,169,1091,22.78,975,91.58,89.4,93.72,21081
TRIPURA,8,71,1101,368,3671,14.75,961,87.75,83.15,92.18,10486
MEGHALAYA,11,41,6166,609,2964,27.82,986,75.48,73.78,77.17,22429
ASSAM,27,145,21833,3416,31169,16.93,954,73.18,67.27,78.81,78438
WEST BENGAL,21,470,41179,3799,991348,13.93,947,77.08,71.16,82.67,88752
JHARKHAND,24,260,27862,2264,32966,22.34,947,67.63,56.21,78.45,79714
ORISSA,30,423,39334,4880,41947,13.97,978,73.45,64.36,82.4,155707
CHHATTISGARH,27,146,21834,2664,25540,22.59,991,71.04,60.59,81.45,135191
MADHYA PRADESH,51,319,54762,3182,72598,20.3,930,70.63,60.02,80.53,308245
GUJARAT,33,253,19877,4307,60384,19.17,918,79.31,70.73,87.23,196024
DAMAN & DIU,2,2,39,7,243,53.54,618,87.07,79.59,91.48,112
DADRA & NAGAR HAVELI,1,1,70,11,343,55.5,775,77.65,65.93,86.46,451
MAHARASHTRA,36,408,43661,5583,112373,15.99,925,82.91,75.48,89.82,307713
ANDHRA PRADESH,13,670,15075,5076,84666,11.1,992,67.66,59.74,75.56,275045
KARNATAKA,34,203,29449,4063,61131,15.67,968,75.6,68.13,82.85,191791
GOA,2,12,530,111,1458,8.17,968,87.4,81.84,92.81,3702
LAKSHADWEEP,1,3,10,9,64,6.23,946,92.28,88.25,96.11,32
KERALA,14,166,1907,1375,33388,44.86,1084,93.91,91.98,96.02,38863
TAMIL NADU,30,413,19301,4092,72139,15.6,995,80.3,73.86,86.81,130058
PUDUCHERRY,4,6,145,33,1244,27.72,1038,86.55,81.22,92.12,479
ANDAMAN & NICOBAR,3,9,198,37,380,6.68,878,86.27,81.84,90.11,8249
TELANGANA,10,459,9934,1776,352,13.58,987,66.46,57.92,74.95,114840
